alternative_names,classification,first_name,frequency_female,frequency_male,frequency_total,frequency_group,group_name,ratio,
ADA|ADAH|ADAR|ADHA|HADA,F,ABA,82,,82,5583,ADA,1.0,3
,M,ABD,,23,23,23,ABD,1.0,3
ABER|ADE|ADER|HADER,M,ABE,,26,26,746,ADER,1.0,3
ABEIR|ABIR|ADEI|ADEIR|ADEY|ADI|ADIR|ADUIR|ADY|ADYR|HADI|HADY,M,ABI,39,62,101,18895,ADIR,0.6138613861386139,3
ACEIR|ACIR|ACY|ACYR|AKI,M,ACI,122,198,320,5973,ACIR,0.61875,3
ACEIR|ACI|ACIR|ACYR|AKI,F,ACY,154,131,285,5973,ACIR,0.5403508771929825,3
ABA|ADAH|ADAR|ADHA|HADA,F,ADA,5029,266,5295,5583,ADA,0.9497639282341832,3
ABE|ABER|ADER|HADER,M,ADE,61,106,167,746,ADER,0.6347305389221557,3
ABEIR|ABI|ABIR|ADEI|ADEIR|ADEY|ADIR|ADUIR|ADY|ADYR|HADI|HADY,M,ADI,879,1010,1889,18895,ADIR,0.5346744309158284,3
,M,ADO,,330,330,330,ADO,1.0,3
ABEIR|ABI|ABIR|ADEI|ADEIR|ADEY|ADI|ADIR|ADUIR|ADYR|HADI|HADY,F,ADY,380,239,619,18895,ADIR,0.6138933764135702,3
AIL|AL|EL|HIEL|HIL|HOEL|IEL|IL|OEL|UEL|UIL|YAEL|YUL,M,AEL,,43,43,476,YAEL,1.0,3
AGAR|HAGA|HAGAR,F,AGA,45,23,68,454,AGAR,0.6617647058823529,3
AYA|HAIA|HAYA,F,AIA,52,,52,291,AYA,1.0,3
AYD|HAID,F,AID,125,,125,192,AID,1.0,3
AEL|AL|EL|HIEL|HIL|HOEL|IEL|IL|OEL|UEL|UIL|YAEL|YUL,M,AIL,,26,26,476,YAEL,1.0,3
AHIR|AI|AYR|HAI|HAIR|HAY|IA|IAR|YA,M,AIR,305,1042,1347,1577,AIR,0.7735708982925018,3
AILA|AILHA|AIULA|ALAA|ALAR|ALHA|AULA|AYALA|AYLA|EILA|ELA|ELAR|ELHA|EOLA|EULA|EULAR|EYLA|HAILA|HALA|HAYALA|HAYLA|HEILA|HELA|HELHA|HEULA|HEYLA|HIALA|HILA|HIULA|HUILHA|HYLA|IAILA|IALA|IELA|ILA|ILAR|ILHA|IOLA|IOLAR|IULA|LA|LAR|OLA|OLAR|UAILA|UALA|UEILA|UILA|UILHA|ULA|YALA|YLA|YOLA|YULA,M,ALA,124,623,747,23950,AILA,0.8340026773761714,3
AELE|AILE|ALAER|ALER|AULER|AYLE|EILER|ELE|ELER|EULE|EULER|EULHER|HAILE|HALE|HEILER|HELE|HELER|HEULER|HIALE|HILER|HULE|IALE|IELE|ILE|ILER|IOLE|IULE|LAE|LAER|LE|OLE|UELE|UELER|UEULER|UILE|UILER|ULE|YALE|YOLE|YULE,M,ALE,64,350,414,12371,EULER,0.8454106280193237,3
ALFF|HALF|HALPH|ULF,M,ALF,,107,107,269,ALF,1.0,3
AELI|AILI|AILY|ALEI|ALEIR|ALEY|ALIR|ALUIR|ALY|AULEIR|AULI|EILI|ELEI|ELEIR|ELEY|ELHI|ELI|ELIR|ELIY|ELUI|ELUIR|ELY|ELYR|EOLI|EULI|EULIR|EULY|HALEI|HALEY|HALI|HALY|HELEI|HELEY|HELI|HELII|HELIR|HELY|HIALI|HIALY|HIULI|HIULY|HULI|HULY|IALEI|IALEY|IALI|IALY|IELI|IELY|ILEI|ILEIR|ILI|ILIR|ILUI|ILUIR|ILY|IOLI|IOLY|IULI|IULY|LEHI|LEHY|LEI|LEIR|LEY|LEYR|LI|LUI|LUIR|LUY|LY|OLEI|OLEIR|OLI|OLIR|OLY|UALI|UELEI|UELI|UILI|ULI|ULY|YALI|YALY|YOLI|YULI|YULY,M,ALI,154,1613,1767,70523,ELI,0.9128466327108092,3
ALAEL|ALAIL|ALIEL|ELAEL|ELEL|ELIAL|ELIEL|ELIL|ELOIL|ELYEL|HELIEL|HELIL|HILL|ILAEL|ILIEL|LAEL|LAIL|LAYAL|LEAL|LEIL|LEL|LEOL|LIEL|LIL|LOEL|LUEL|OLIEL|ULIEL,M,ALL,,20,20,30866,ELIEL,1.0,3
AELI|AILI|AILY|ALEI|ALEIR|ALEY|ALI|ALIR|ALUIR|AULEIR|AULI|EILI|ELEI|ELEIR|ELEY|ELHI|ELI|ELIR|ELIY|ELUI|ELUIR|ELY|ELYR|EOLI|EULI|EULIR|EULY|HALEI|HALEY|HALI|HALY|HELEI|HELEY|HELI|HELII|HELIR|HELY|HIALI|HIALY|HIULI|HIULY|HULI|HULY|IALEI|IALEY|IALI|IALY|IELI|IELY|ILEI|ILEIR|ILI|ILIR|ILUI|ILUIR|ILY|IOLI|IOLY|IULI|IULY|LEHI|LEHY|LEI|LEIR|LEY|LEYR|LI|LUI|LUIR|LUY|LY|OLEI|OLEIR|OLI|OLIR|OLY|UALI|UELEI|UELI|UILI|ULI|ULY|YALI|YALY|YOLI|YULI|YULY,M,ALY,22,87,109,70523,ELI,0.7981651376146789,3
AMAR|HAMA,F,AMA,305,,305,349,AMA,1.0,3
AMER,F,AME,21,,21,97,AMER,1.0,3
AMEIR|AMIR|AMMY|AMY|AMYR,F,AMI,94,68,162,3113,AMIR,0.5802469135802469,3
AMEIR|AMI|AMIR|AMMY|AMYR,F,AMY,317,29,346,3113,AMIR,0.9161849710982659,3
AANA|ANAA|ANAH|ANAR|ANNA|ANNAH|HANA|HANAH|HANNA|HANNAH|HANNHA,F,ANA,3079729,10129,3089858,3158780,ANA,0.9967218558263843,3
ANAE|ANER|ANNE|HANAE|HANE|HANNE,F,ANE,35222,161,35383,60142,ANE,0.9954497922731255,3
ANEI|ANEIR|ANEY|ANIR|ANNEY|ANNI|ANNY|ANY|HANEY|HANI|HANNI|HANNY|HANY,F,ANI,5316,98,5414,23426,ANNY,0.9818987809383081,3
